,wind_code,delist_date
697,301006.SZ,1899-12-30
698,605319.SH,1899-12-30
699,600836.SH,1899-12-30
700,688625.SH,1899-12-30
701,301003.SZ,1899-12-30
702,301005.SZ,1899-12-30
703,002052.SZ,1899-12-30
704,600698.SH,1899-12-30
705,002247.SZ,1899-12-30
706,603222.SH,1899-12-30
707,300996.SZ,1899-12-30
708,688117.SH,1899-12-30
709,600115.SH,1899-12-30
710,002077.SZ,1899-12-30
711,002359.SZ,1899-12-30
712,301001.SZ,1899-12-30
713,300428.SZ,1899-12-30
714,301000.SZ,1899-12-30
715,000760.SZ,1899-12-30
716,300998.SZ,1899-12-30
717,300997.SZ,1899-12-30
718,600614.SH,1899-12-30
719,002711.SZ,1899-12-30
720,600634.SH,1899-12-30
721,301003.SZ,1899-12-30
722,600485.SH,2021-06-01
723,301005.SZ,1899-12-30
724,603318.SH,1899-12-30
725,600725.SH,1899-12-30
726,603222.SH,1899-12-30
727,600836.SH,1899-12-30
728,300995.SZ,1899-12-30
729,002450.SZ,2021-05-31
730,300614.SZ,1899-12-30
731,000707.SZ,1899-12-30
732,300992.SZ,1899-12-30
733,603511.SH,1899-12-30
734,300356.SZ,1899-12-30
735,002121.SZ,1899-12-30
736,300993.SZ,1899-12-30
737,600182.SH,1899-12-30
738,605189.SH,1899-12-30
739,301001.SZ,1899-12-30
740,605296.SH,1899-12-30
741,300356.SZ,1899-12-30
742,301000.SZ,1899-12-30
743,688538.SH,1899-12-30
744,605499.SH,1899-12-30
745,000572.SZ,1899-12-30
746,002336.SZ,1899-12-30
747,600614.SH,1899-12-30
748,603836.SH,1899-12-30
749,300991.SZ,1899-12-30
750,300995.SZ,1899-12-30
751,600634.SH,1899-12-30
752,002333.SZ,1899-12-30
753,002711.SZ,1899-12-30
754,002312.SZ,1899-12-30
755,603318.SH,1899-12-30
756,300614.SZ,1899-12-30
757,300992.SZ,1899-12-30
758,600032.SH,1899-12-30
759,605090.SH,1899-12-30
760,300993.SZ,1899-12-30
761,002502.SZ,1899-12-30
762,000953.SZ,1899-12-30
763,002280.SZ,1899-12-30
764,002354.SZ,1899-12-30
765,688359.SH,1899-12-30
766,688613.SH,1899-12-30
767,600242.SH,1899-12-30
768,000409.SZ,1899-12-30
769,601258.SH,1899-12-30
770,600781.SH,1899-12-30
771,600423.SH,1899-12-30
772,600671.SH,1899-12-30
773,002468.SZ,1899-12-30
774,600599.SH,1899-12-30
775,688076.SH,1899-12-30
776,300991.SZ,1899-12-30
777,600226.SH,1899-12-30
778,000727.SZ,1899-12-30
779,002120.SZ,1899-12-30
780,600289.SH,1899-12-30
781,688660.SH,1899-12-30
782,600702.SH,1899-12-30
783,600280.SH,1899-12-30
784,603188.SH,1899-12-30
785,600354.SH,1899-12-30
786,600311.SH,1899-12-30
787,600821.SH,1899-12-30
788,600836.SH,1899-12-30
789,600539.SH,1899-12-30
790,600898.SH,1899-12-30
791,600610.SH,1899-12-30
792,600226.SH,1899-12-30
793,600816.SH,1899-12-30
794,688314.SH,1899-12-30
795,002469.SZ,1899-12-30
796,300988.SZ,1899-12-30
797,600241.SH,1899-12-30
798,600242.SH,1899-12-30
799,600568.SH,1899-12-30
800,600599.SH,1899-12-30
801,605339.SH,1899-12-30
802,001206.SZ,1899-12-30
803,600671.SH,1899-12-30
804,300990.SZ,1899-12-30
805,688575.SH,1899-12-30
806,300539.SZ,1899-12-30
807,600816.SH,1899-12-30
808,688217.SH,1899-12-30
809,600290.SH,1899-12-30
810,600568.SH,1899-12-30
811,600898.SH,1899-12-30
812,300987.SZ,1899-12-30
813,000890.SZ,1899-12-30
814,600530.SH,1899-12-30
815,000837.SZ,1899-12-30
816,600119.SH,1899-12-30
817,600462.SH,1899-12-30
818,600241.SH,1899-12-30
819,600122.SH,1899-12-30
820,001205.SZ,1899-12-30
821,605488.SH,1899-12-30
822,688685.SH,1899-12-30
823,688565.SH,1899-12-30
824,603389.SH,1899-12-30
825,300989.SZ,1899-12-30
826,600877.SH,1899-12-30
827,600122.SH,1899-12-30
828,300990.SZ,1899-12-30
829,300988.SZ,1899-12-30
830,688097.SH,1899-12-30
831,688355.SH,1899-12-30
832,000408.SZ,1899-12-30
833,600080.SH,1899-12-30
834,600891.SH,2021-05-12
835,600234.SH,1899-12-30
836,300987.SZ,1899-12-30
837,688655.SH,1899-12-30
838,601399.SH,1899-12-30
839,605196.SH,1899-12-30
840,600877.SH,1899-12-30
841,000536.SZ,1899-12-30
842,300986.SZ,1899-12-30
843,001203.SZ,1899-12-30
844,002255.SZ,1899-12-30
845,600179.SH,1899-12-30
846,600215.SH,1899-12-30
847,002426.SZ,1899-12-30
848,300985.SZ,1899-12-30
849,601399.SH,1899-12-30
850,600243.SH,1899-12-30
851,300495.SZ,1899-12-30
852,002071.SZ,2021-05-07
853,300989.SZ,1899-12-30
854,600906.SH,1899-12-30
855,002640.SZ,1899-12-30
856,600358.SH,1899-12-30
857,605305.SH,1899-12-30
858,605080.SH,1899-12-30
859,000611.SZ,1899-12-30
860,600382.SH,1899-12-30
861,000005.SZ,1899-12-30
862,000525.SZ,1899-12-30
863,600896.SH,1899-12-30
864,600078.SH,1899-12-30
865,603729.SH,1899-12-30
866,600461.SH,1899-12-30
867,600870.SH,1899-12-30
868,603007.SH,1899-12-30
