wind_code,,trading_date,wind_code,open_price,high_price,low_price,close_price,volume,vwap,turn,free_turn,is_st,trade_status,susp_days,susp_reason,max_up_or_down,close_adj,return1,return5,return_bn
000975.SZ,627,2013-09-04,000975.SZ,8.97,9.11,8.91,8.96,4492971.0,9.006198971682657,0.7212691692826407,1.1248800100424166,0.0,交易,,,0.0,40.98370304,-0.0033370411568408587,-0.0022321428571430157,-0.3105383717510152
000975.SZ,628,2013-09-05,000975.SZ,8.93,8.99,8.72,8.76,6049459.0,8.803919887712274,0.9711365302690348,1.5145692016866317,0.0,交易,,,0.0,40.06888823999999,-0.022321428571428825,0.006849315068493178,-0.16220323335015868
000975.SZ,629,2013-09-06,000975.SZ,8.76,8.87,8.64,8.75,4989657.0,8.73122561330368,0.8010035585351682,1.249232504787637,0.0,交易,,,0.0,40.02314749999999,-0.0011415525114154557,-0.005714285714285783,-0.32193665920633807
000975.SZ,630,2013-09-09,000975.SZ,8.7,8.95,8.69,8.85,6110200.0,8.809845471506662,0.9808874524564684,1.5297765859964765,0.0,交易,,,0.0,40.480554899999994,0.011428571428571566,-0.006779661016949268,-0.26933319794865335
000975.SZ,631,2013-09-10,000975.SZ,8.85,9.05,8.79,9.05,6787675.999999999,8.972218753517405,1.0896445647834625,1.6993924614792013,0.0,交易,,,0.0,41.395369699999996,0.02259887005649719,-0.05524861878453036,-0.6941957956881724
000975.SZ,632,2013-09-11,000975.SZ,9.03,9.14,8.9,8.94,6757503.999999999,8.996168540928723,1.084800969448528,1.691838466658625,0.0,交易,,,0.0,40.892221559999996,-0.012154696132596676,-0.043624161073825496,-0.7505735819474604
000975.SZ,633,2013-09-12,000975.SZ,8.91,8.92,8.76,8.82,5343046.0,8.828354069944373,0.8577340806025537,1.3377085314232149,0.0,交易,,,0.0,40.343332679999996,-0.01342281879194629,-0.019274376417233507,-0.6321558540768413
000975.SZ,634,2013-09-13,000975.SZ,8.79,8.79,8.62,8.7,7817595.0,8.680755181101093,1.254980335158657,1.957247518870597,0.0,交易,,,0.0,39.79444379999999,-0.013605442176870874,-0.03448275862068939,-0.8420758085552762
000975.SZ,635,2013-09-16,000975.SZ,8.7,8.87,8.65,8.79,7087105.0,8.766037472282406,1.1377127375112923,1.7743588248336482,0.0,交易,,,0.0,40.20611045999999,0.010344827586207028,-0.060295790671217264,-1.195027026088172
000975.SZ,636,2013-09-17,000975.SZ,8.78,8.79,8.55,8.55,4478297.0,8.662808540835947,0.7189135111245859,1.1212061627668917,0.0,交易,,,0.0,39.1083327,-0.027303754266211455,-0.0339181286549709,-0.7293733056099345
000975.SZ,637,2013-09-18,000975.SZ,8.61,8.67,8.43,8.55,2912594.0,8.522351690623546,0.4675668404798526,0.7292098631327649,0.0,交易,,,0.0,39.1083327,0.0,-0.025730994152046827,-0.5041128293998752
000975.SZ,638,2013-09-23,000975.SZ,8.55,8.7,8.53,8.65,4685035.0,8.597506912968633,0.7521017390297193,1.1729659990792447,0.0,交易,,,0.0,39.5657401,0.011695906432748648,-0.025433526011560903,-0.36585314027846316
000975.SZ,639,2013-09-24,000975.SZ,8.64,8.65,8.38,8.4,5469201.0,8.453206674978668,0.8779860947043255,1.369293252906372,0.0,交易,,,0.0,38.4222216,-0.028901734104046173,0.00952380952380949,-0.00361449248947321
